Elevation_mid,segment,SD_pteridophyte,SR_pteridophyte,SR_lycopod,SR_fern,bio1,bio4,bio6,bio12,bio14,bio15
50,lower,6.004969784,23,1,22,1.758352398,-2.197261473,1.826198721,-0.109757373,-2.93450637,1.532125967
150,lower,13.77448715,57,5,52,1.713278779,-1.29500154,1.644813574,0.022535344,-2.580069318,2.127484586
250,lower,19.32800664,73,5,68,1.633636505,-1.273513222,1.577202144,0.083311404,-2.138475615,1.882798736
350,lower,24.88586262,88,6,82,1.538114635,-1.364918756,1.50772557,0.220214718,-1.888626545,1.566146459
450,lower,28.81635783,102,7,95,1.450899016,-1.296230972,1.424027282,0.276851719,-1.656208807,1.399969438
550,lower,30.66855912,110,7,103,1.370768138,-1.158784131,1.333101566,0.12658815,-1.435411955,1.258653546
650,lower,35.52062603,128,12,116,1.292713823,-1.058113318,1.250335849,0.289111717,-1.168131555,1.1879956
750,lower,40.41709736,144,14,130,1.20659756,-1.07172615,1.188436419,0.414645717,-1.063543573,1.055839071
850,lower,45.38090633,162,16,146,1.129031848,-1.023778335,1.114879846,0.503085363,-0.970576477,1.013967695
950,lower,49.26388946,176,16,160,1.055985713,-1.001612938,1.05088213,0.549348519,-0.889230269,0.940692788
1050,lower,54.05757583,194,17,177,0.98330603,-0.957656319,0.9816387,0.674777732,-0.778831843,0.913214698
1150,lower,56.2107764,201,18,183,0.914657321,-0.919846857,0.914959841,0.741736185,-0.703296078,0.880502686
1250,lower,61.39849136,219,18,201,0.841244733,-0.864486818,0.844317553,0.847046427,-0.581276765,0.819004104
1350,lower,68.42895717,246,19,227,0.772229572,-0.861422149,0.786031837,0.810685577,-0.534793217,0.790217533
1450,lower,73.33284421,260,19,241,0.701015698,-0.783736354,0.711659264,0.876910525,-0.441826121,0.722176548
1550,lower,79.80873401,281,20,261,0.628824618,-0.753748924,0.648477548,0.971584956,-0.284944148,0.650210121
1650,lower,82.11091796,286,21,265,0.557855045,-0.688107991,0.578068403,1.069507763,-0.22102927,0.635816836
1750,lower,83.19709844,287,20,267,0.484320307,-0.640195811,0.513254688,1.167220998,-0.075768183,0.529829917
1850,lower,87.94385983,302,24,278,0.412495679,-0.581325658,0.442495829,1.168059288,0.0288198,0.447395647
1950,lower,91.63404356,310,23,287,0.341648257,-0.503105327,0.371270684,1.247696884,0.104355565,0.436927803
2050,upper,88.94933806,298,22,276,0.267869217,-0.440707241,0.302959825,1.271483377,0.226374878,0.361035935
2150,upper,88.27956789,295,22,273,0.197266096,-0.364821048,0.231851252,1.22139552,0.307721086,0.275984703
2250,upper,87.35849893,288,18,270,0.127518031,-0.283571684,0.158877536,1.15579929,0.371635964,0.194858913
2350,upper,85.58845698,281,18,263,0.055937704,-0.197636227,0.086486677,1.029950931,0.447171729,0.074478709
2450,upper,84.96724187,275,18,257,-0.01356606,-0.131888386,0.017709532,0.889904028,0.46460306,-0.049826937
2550,upper,80.11388594,260,17,243,-0.082947673,-0.033444804,-0.05573047,0.878115568,0.586622373,-0.065528703
2650,upper,78.01776408,252,19,233,-0.151352081,0.051065225,-0.129753329,0.54023211,0.563380599,-0.210770036
2750,upper,75.9480477,244,17,227,-0.217069172,0.103859494,-0.190370473,0.629038508,0.644726807,-0.244790529
2850,upper,72.46508538,232,16,216,-0.284740676,0.197759527,-0.266491618,0.394474352,0.61567459,-0.315448475
2950,upper,69.91694997,224,17,207,-0.354733043,0.326742892,-0.34972362,0.155090026,0.644726807,-0.473774613
3050,upper,62.77417921,201,12,189,-0.419595079,0.390174413,-0.415236765,0.135652166,0.737693903,-0.506486625
3150,upper,58.96428263,188,11,177,-0.481525498,0.443449763,-0.476903052,0.106469178,0.830660998,-0.554900403
